	Pitcher	AB.1	AB.2	H.1	H.2
600	0	257	44	37	4
601	0	114	66	14	13
602	0	147	87	27	18
603	0	0	4	0	0
604	1	0	4	0	1
605	0	13	0	4	0
606	0	197	32	30	7
607	0	218	165	37	40
608	1	4	0	0	0
609	1	1	0	0	0
610	0	157	156	30	46
611	1	10	5	1	1
612	0	35	39	5	10
613	1	19	23	4	2
614	0	69	26	2	4
615	0	37	110	9	24
616	0	113	68	11	15
617	0	1	51	1	14
618	1	1	2	0	0
619	0	2	0	0	0
620	0	10	202	0	62
621	0	89	40	21	15
622	0	296	203	55	61
623	1	21	23	2	2
624	1	24	6	5	0
625	0	0	22	0	3
626	0	0	4	0	0
627	1	1	2	0	0
628	1	33	29	3	7
629	1	1	0	0	0
630	0	232	202	43	59
631	1	0	2	0	0
632	0	72	95	16	24
633	1	0	1	0	1
634	1	13	17	0	1
635	0	86	82	12	22
636	0	256	87	44	26
637	1	5	4	2	1
638	0	296	95	43	17
639	1	18	26	1	2
640	0	29	8	2	3
641	0	0	4	0	2
642	1	7	0	0	0
643	0	126	171	22	47
644	1	23	16	2	3
645	0	23	9	0	3
646	0	127	102	11	24
647	0	125	154	33	36
648	1	1	0	0	0
649	1	22	15	1	4
650	0	190	209	32	64
651	0	131	92	27	25
652	0	37	1	6	0
653	0	84	55	19	10
654	0	0	3	0	0
655	0	285	212	50	53
656	1	16	10	1	2
657	1	25	8	2	1
658	0	70	53	9	13
659	0	82	59	8	13
660	1	22	26	2	2
661	0	158	0	23	0
662	0	0	9	0	0
663	0	32	6	4	0
664	0	219	130	35	27
665	0	0	36	0	10
666	0	251	113	44	25
667	0	27	0	4	0
668	0	29	42	9	15
669	0	304	227	55	71
670	0	214	159	37	41
671	1	4	0	0	0
672	0	250	200	41	63
673	0	232	158	51	54
674	1	1	0	1	0
675	1	4	0	1	0
676	0	233	158	38	39
677	0	74	73	7	19
678	0	6	5	0	0
679	0	2	0	0	0
680	1	18	20	3	5
681	0	301	189	66	64
682	0	123	167	12	35
683	1	0	1	0	0
684	1	0	1	0	0
685	0	63	53	5	12
686	0	0	25	0	3
687	0	16	19	1	4
688	0	0	29	0	7
689	1	5	0	0	0
690	0	276	106	55	35
691	1	6	2	0	0
692	0	0	2	0	0
693	1	33	24	6	4
694	0	0	4	0	1
695	0	272	191	53	56
696	0	266	183	51	48
697	1	5	2	0	1
698	1	8	0	0	0
699	1	31	13	1	1
700	0	153	100	24	20
701	0	78	39	9	16
702	0	247	149	36	36
703	0	5	0	0	0
704	0	1	0	0	0
705	1	0	0	0	0
706	0	175	35	28	2
707	0	295	211	45	52
708	0	119	128	15	35
709	1	0	1	0	0
710	0	71	18	14	2
711	1	0	1	0	0
712	1	0	1	0	0
713	1	3	2	0	1
714	0	334	249	55	73
715	1	2	0	0	0
716	0	256	138	49	35
717	0	92	44	16	13
718	0	130	152	22	38
719	0	33	15	9	7
720	0	277	174	62	46
721	0	202	125	29	28
722	1	3	0	0	0
723	0	292	208	66	64
724	0	268	171	56	43
725	0	0	69	0	22
726	0	64	86	18	24
727	1	3	0	1	0
728	1	12	19	2	1
729	0	0	1	0	1
730	1	3	0	1	0
731	0	142	54	29	11
732	0	331	229	60	83
733	0	23	7	4	1
734	0	25	18	5	4
735	0	14	11	2	2
736	0	102	13	14	4
737	0	271	201	45	54
738	1	27	3	3	0
739	1	21	12	1	2
740	0	24	37	6	7
741	1	1	0	0	0
742	1	6	0	1	0
743	0	8	0	0	0
744	0	152	113	28	23
745	0	142	34	18	10
746	1	3	1	0	0
747	0	153	202	29	64
748	0	43	0	6	0
749	0	228	67	41	16
750	0	0	2	0	0
751	1	6	0	1	0
752	1	1	0	0	0
753	0	23	0	6	0
754	0	0	8	0	1
755	1	27	6	1	0
756	0	3	0	0	0
757	1	27	16	2	0
758	1	0	0	0	0
759	0	199	115	37	31
760	0	5	17	0	5
761	0	39	37	6	7
762	0	216	118	38	30
763	0	59	17	12	4
764	1	3	0	0	0
765	0	45	0	1	0
766	1	6	11	1	1
767	0	266	197	41	63
768	0	9	6	2	1
769	1	0	1	0	0
770	0	20	38	6	12
771	1	18	13	0	0
772	0	277	199	55	56
773	0	74	229	24	72
774	1	1	0	0	0
775	0	11	4	0	0
776	0	1	14	1	5
777	0	79	91	17	22
778	1	2	0	0	0
779	0	59	0	8	0
780	1	1	0	0	0
781	0	284	246	57	65
782	0	37	0	8	0
783	0	55	3	4	0
784	1	37	21	5	2
785	1	0	8	0	0
786	0	0	9	0	2
787	0	166	131	32	37
788	0	189	98	27	19
789	0	0	12	0	2
790	0	305	216	55	52
791	1	5	18	1	2
792	0	230	81	47	20
793	0	0	1	0	0
794	1	0	1	0	0
795	0	12	19	1	1
796	0	0	4	0	2
797	0	241	18	40	1
798	0	179	160	28	45
799	1	0	1	0	0
800	1	15	9	1	0
801	0	0	12	0	2
802	0	305	165	53	39
803	0	27	59	7	13
804	1	1	1	0	0
805	0	0	9	0	2
806	0	130	178	27	56
807	1	25	22	3	7
808	0	146	114	20	24
809	0	323	237	63	82
810	0	96	85	20	24
811	0	214	166	35	53
812	0	198	181	42	44
813	0	152	150	34	38
814	0	282	200	55	58
815	0	22	0	4	0
816	0	180	185	27	50
817	0	316	220	58	66
818	0	311	231	67	68
819	1	6	7	0	1
820	0	70	55	5	11
821	0	85	22	4	5
822	0	0	13	0	2
823	0	46	0	2	0
824	0	55	50	12	11
825	0	193	0	33	0
826	1	1	2	0	0
827	1	4	0	0	0
828	1	13	6	1	1
829	0	67	37	8	8
830	1	31	18	3	3
831	0	11	0	3	0
832	0	71	76	14	14
833	0	19	0	1	0
834	1	2	0	1	0
835	1	6	0	0	0
836	1	0	12	0	1
837	0	234	185	51	58
838	0	39	37	5	5
839	0	135	90	27	22
840	0	0	56	0	18
841	0	215	176	33	48
842	0	220	224	44	67
843	1	0	6	0	0
844	0	126	0	15	0
845	0	43	0	3	0
846	0	87	105	16	31
847	0	67	22	12	4
848	1	5	17	0	2
849	1	0	11	0	3
850	0	232	159	46	38
851	1	1	0	0	0
852	1	27	26	3	7
853	0	60	13	7	2
854	0	0	2	0	0
855	0	0	17	0	5
856	0	100	105	27	27
857	1	0	0	0	0
858	0	87	69	10	14
859	0	275	201	58	49
860	1	3	4	0	1
861	1	2	0	0	0
862	1	2	1	0	0
863	1	0	1	0	0
864	1	8	0	2	0
865	0	193	93	31	33
866	0	118	188	34	56
867	1	0	0	0	0
868	1	1	0	0	0
869	0	246	116	40	23
870	1	1	0	0	0
871	1	4	0	0	0
872	0	0	21	0	4
873	0	33	12	1	4
874	1	32	24	4	2
875	1	27	26	0	6
876	0	64	191	18	43
877	1	3	0	0	0
878	1	7	0	1	0
879	1	30	19	3	4
880	0	288	225	48	63
881	0	121	147	26	31
882	1	2	0	0	0
883	1	0	0	0	0
884	1	1	0	0	0
885	0	254	81	51	29
886	0	0	12	0	3
887	0	71	48	8	12
888	0	103	27	9	11
889	0	272	212	49	50
890	0	222	173	39	40
891	1	24	5	2	1
892	0	1	9	0	2
893	0	40	0	17	0
894	1	6	20	0	1
895	1	1	0	0	0
896	1	19	21	6	1
897	0	2	21	0	7
898	1	44	33	8	11
899	0	81	106	15	24
900	0	27	0	3	0
901	0	22	0	3	0
902	0	279	203	36	60
903	0	0	10	0	1
904	1	17	0	3	0
905	0	235	189	40	49
906	0	50	65	5	15
907	0	290	219	48	81
908	1	0	1	0	1
909	1	26	0	1	0
910	0	250	24	34	10
911	1	10	8	1	1
912	0	93	50	23	9
913	0	1	0	0	0
914	1	0	1	0	0
915	0	264	213	50	62
916	1	29	15	4	1
917	1	0	0	0	0
918	1	1	0	0	0
919	0	59	17	9	4
920	1	5	0	0	0
921	0	265	109	45	27
922	0	3	83	1	20
923	0	317	231	72	81
924	0	0	33	0	10
925	1	35	30	6	12
926	1	25	16	2	1
927	0	197	157	40	37
928	1	7	0	1	0
929	0	0	58	0	23
